Día de la semana,Hora de inicio,Hora de fin,Estación de origen,Estación de destino,Número de pasajeros,Nivel de congestión,Clima
Miércoles,6:00,9:00,Calle 72,Portal Sur,72,Alta,Lluvioso
Sábado,18:00,21:00,Calle 100,Calle 26,70,Alta,Soleado
Martes,12:00,15:00,Portal Norte,Portal Sur,41,Moderada,Nublado
Sábado,21:00,24:00,Calle 72,Portal Sur,80,Alta,Nublado
Lunes,18:00,21:00,Héroes,Calle 100,4,Baja,Soleado
Jueves,15:00,18:00,Portal Norte,Calle 72,40,Moderada,Nublado
Sábado,15:00,18:00,Portal Norte,Calle 72,29,Moderada,Soleado
Sábado,21:00,24:00,Av. Jiménez,Calle 100,81,Alta,Nublado
Viernes,18:00,21:00,Calle 72,Calle 100,62,Alta,Lluvioso
Miércoles,6:00,9:00,Av. Jiménez,Calle 72,19,Baja,Nublado
Domingo,18:00,21:00,Calle 72,Calle 26,34,Moderada,Soleado
Viernes,9:00,12:00,Portal Norte,Calle 100,37,Moderada,Soleado
Domingo,21:00,24:00,Portal Norte,Héroes,36,Moderada,Soleado
Martes,15:00,18:00,Héroes,Calle 100,21,Moderada,Soleado
Jueves,6:00,9:00,Portal Sur,Calle 100,29,Moderada,Soleado
Jueves,21:00,24:00,Portal Sur,Portal Norte,31,Moderada,Soleado
Viernes,6:00,9:00,Av. Jiménez,Portal Sur,65,Alta,Soleado
Miércoles,15:00,18:00,Calle 72,Av. Jiménez,73,Alta,Soleado
Miércoles,15:00,18:00,Portal Norte,Calle 26,23,Baja,Soleado
Jueves,18:00,21:00,Calle 72,Portal Norte,29,Moderada,Soleado
Lunes,12:00,15:00,Héroes,Av. Jiménez,73,Alta,Soleado
Lunes,12:00,15:00,Calle 72,Calle 100,27,Moderada,Soleado
Viernes,9:00,12:00,Héroes,Calle 26,41,Moderada,Nublado
Sábado,15:00,18:00,Calle 72,Calle 26,50,Moderada,Lluvioso
Domingo,9:00,12:00,Portal Sur,Calle 100,40,Moderada,Nublado
Martes,21:00,24:00,Portal Sur,Calle 72,3,Baja,Nublado
Domingo,15:00,18:00,Calle 72,Héroes,40,Moderada,Nublado
Sábado,6:00,9:00,Héroes,Portal Sur,10,Baja,Soleado
Martes,9:00,12:00,Portal Sur,Héroes,0,Baja,Nublado
Jueves,6:00,9:00,Av. Jiménez,Calle 72,47,Moderada,Lluvioso
Martes,6:00,9:00,Héroes,Av. Jiménez,97,Alta,Lluvioso
Jueves,21:00,24:00,Calle 26,Portal Sur,24,Baja,Soleado
Lunes,12:00,15:00,Portal Sur,Calle 26,75,Alta,Soleado
Miércoles,18:00,21:00,Portal Norte,Calle 100,66,Alta,Soleado
Jueves,18:00,21:00,Héroes,Av. Jiménez,42,Moderada,Lluvioso
Lunes,6:00,9:00,Calle 100,Portal Norte,40,Moderada,Nublado
Lunes,12:00,15:00,Calle 26,Av. Jiménez,50,Moderada,Lluvioso
Domingo,21:00,24:00,Portal Sur,Av. Jiménez,81,Alta,Nublado
Jueves,12:00,15:00,Héroes,Calle 72,40,Moderada,Nublado
Miércoles,18:00,21:00,Av. Jiménez,Calle 72,73,Alta,Soleado
Domingo,15:00,18:00,Portal Sur,Calle 100,36,Baja,Soleado
Lunes,18:00,21:00,Calle 26,Héroes,34,Moderada,Soleado
Miércoles,21:00,24:00,Av. Jiménez,Portal Sur,92,Alta,Lluvioso
Jueves,6:00,9:00,Calle 26,Av. Jiménez,12,Baja,Lluvioso
Sábado,21:00,24:00,Portal Norte,Héroes,32,Moderada,Soleado
Sábado,18:00,21:00,Portal Sur,Calle 72,9,Baja,Nublado
Martes,21:00,24:00,Héroes,Calle 72,34,Moderada,Soleado
Lunes,6:00,9:00,Calle 72,Av. Jiménez,80,Alta,Nublado
Domingo,12:00,15:00,Portal Sur,Calle 72,40,Moderada,Nublado
Sábado,15:00,18:00,Calle 72,Calle 26,78,Alta,Lluvioso
Jueves,12:00,15:00,Portal Norte,Av. Jiménez,66,Alta,Lluvioso
Jueves,12:00,15:00,Héroes,Portal Sur,80,Alta,Nublado
Lunes,9:00,12:00,Av. Jiménez,Portal Norte,11,Baja,Soleado
Jueves,6:00,9:00,Héroes,Portal Sur,18,Baja,Lluvioso
Martes,21:00,24:00,Calle 72,Calle 100,7,Baja,Soleado
Sábado,12:00,15:00,Calle 26,Calle 72,15,Baja,Soleado
Sábado,21:00,24:00,Av. Jiménez,Portal Norte,59,Moderada,Lluvioso
Domingo,6:00,9:00,Portal Norte,Calle 72,40,Moderada,Nublado
Jueves,12:00,15:00,Portal Sur,Calle 26,56,Moderada,Lluvioso
Domingo,9:00,12:00,Av. Jiménez,Calle 72,60,Alta,Lluvioso
Domingo,21:00,24:00,Héroes,Portal Sur,41,Moderada,Nublado
Viernes,18:00,21:00,Portal Sur,Calle 100,80,Alta,Nublado
Martes,9:00,12:00,Calle 72,Av. Jiménez,23,Moderada,Soleado
Miércoles,15:00,18:00,Calle 26,Portal Sur,30,Moderada,Soleado
Lunes,18:00,21:00,Portal Sur,Calle 26,69,Alta,Soleado
Domingo,12:00,15:00,Calle 100,Héroes,42,Moderada,Lluvioso
Miércoles,15:00,18:00,Calle 26,Portal Norte,2,Baja,Lluvioso
Sábado,15:00,18:00,Portal Norte,Calle 26,40,Moderada,Nublado
Lunes,9:00,12:00,Héroes,Calle 72,8,Baja,Lluvioso
Viernes,9:00,12:00,Héroes,Calle 100,29,Moderada,Soleado
Miércoles,21:00,24:00,Calle 72,Calle 26,81,Alta,Nublado
Martes,9:00,12:00,Portal Sur,Calle 72,41,Moderada,Nublado
Domingo,9:00,12:00,Calle 100,Calle 26,27,Baja,Soleado
Domingo,12:00,15:00,Calle 26,Portal Norte,58,Moderada,Lluvioso
Miércoles,15:00,18:00,Portal Sur,Av. Jiménez,5,Baja,Nublado
Lunes,21:00,24:00,Calle 100,Calle 26,56,Moderada,Lluvioso
Miércoles,18:00,21:00,Héroes,Calle 26,80,Alta,Nublado
Sábado,18:00,21:00,Calle 26,Portal Norte,67,Alta,Soleado
Martes,21:00,24:00,Calle 100,Calle 26,33,Moderada,Soleado
Domingo,21:00,24:00,Portal Norte,Portal Sur,70,Alta,Soleado
Lunes,9:00,12:00,Calle 72,Héroes,21,Moderada,Soleado
Viernes,18:00,21:00,Calle 72,Av. Jiménez,75,Alta,Soleado
Domingo,6:00,9:00,Calle 72,Calle 100,7,Baja,Nublado
Viernes,12:00,15:00,Av. Jiménez,Calle 26,41,Moderada,Nublado
Miércoles,15:00,18:00,Portal Sur,Calle 100,80,Alta,Soleado
Viernes,15:00,18:00,Portal Sur,Héroes,94,Alta,Lluvioso
Sábado,18:00,21:00,Calle 72,Calle 100,80,Alta,Nublado
Martes,6:00,9:00,Portal Norte,Calle 72,70,Alta,Lluvioso
Martes,15:00,18:00,Av. Jiménez,Calle 72,6,Baja,Soleado
Miércoles,12:00,15:00,Héroes,Av. Jiménez,69,Alta,Soleado
Viernes,12:00,15:00,Héroes,Portal Sur,39,Moderada,Soleado
Martes,6:00,9:00,Calle 72,Héroes,49,Moderada,Lluvioso
Sábado,9:00,12:00,Av. Jiménez,Portal Sur,66,Alta,Soleado
Viernes,12:00,15:00,Calle 100,Calle 72,60,Moderada,Lluvioso
Martes,6:00,9:00,Portal Norte,Héroes,5,Baja,Nublado
Miércoles,15:00,18:00,Portal Norte,Av. Jiménez,20,Baja,Lluvioso
Miércoles,12:00,15:00,Av. Jiménez,Calle 100,8,Baja,Soleado
Lunes,12:00,15:00,Portal Norte,Calle 100,36,Baja,Soleado
Sábado,12:00,15:00,Héroes,Calle 26,41,Moderada,Nublado
Jueves,9:00,12:00,Héroes,Portal Sur,81,Alta,Nublado
Martes,9:00,12:00,Calle 100,Portal Sur,8,Baja,Nublado
Jueves,15:00,18:00,Portal Norte,Calle 72,76,Alta,Lluvioso
Domingo,21:00,24:00,Calle 72,Héroes,81,Alta,Nublado
Domingo,21:00,24:00,Calle 72,Av. Jiménez,14,Baja,Lluvioso
Jueves,21:00,24:00,Av. Jiménez,Portal Sur,23,Moderada,Soleado
Viernes,21:00,24:00,Calle 100,Calle 72,40,Moderada,Nublado
Sábado,21:00,24:00,Av. Jiménez,Calle 72,70,Alta,Soleado
Miércoles,18:00,21:00,Calle 100,Av. Jiménez,81,Alta,Nublado
Domingo,12:00,15:00,Portal Sur,Calle 100,79,Alta,Soleado
Jueves,12:00,15:00,Héroes,Calle 100,3,Baja,Lluvioso
Sábado,15:00,18:00,Calle 72,Calle 26,39,Baja,Soleado
Domingo,15:00,18:00,Av. Jiménez,Portal Sur,34,Moderada,Soleado
Viernes,9:00,12:00,Portal Norte,Av. Jiménez,26,Baja,Soleado
Miércoles,9:00,12:00,Calle 72,Portal Norte,17,Baja,Soleado
Viernes,9:00,12:00,Av. Jiménez,Calle 72,19,Baja,Nublado
Jueves,6:00,9:00,Av. Jiménez,Calle 26,51,Moderada,Lluvioso
Domingo,12:00,15:00,Portal Sur,Calle 72,100,Alta,Lluvioso
Lunes,21:00,24:00,Calle 72,Calle 26,75,Alta,Lluvioso
Jueves,15:00,18:00,Av. Jiménez,Portal Sur,3,Baja,Lluvioso
Domingo,9:00,12:00,Héroes,Calle 72,21,Baja,Soleado
Domingo,6:00,9:00,Calle 100,Calle 26,26,Moderada,Soleado
Sábado,9:00,12:00,Calle 26,Portal Norte,23,Moderada,Soleado
Miércoles,12:00,15:00,Calle 100,Héroes,81,Alta,Nublado
Miércoles,6:00,9:00,Calle 26,Portal Sur,57,Moderada,Lluvioso
Miércoles,9:00,12:00,Portal Sur,Héroes,28,Moderada,Soleado
Sábado,6:00,9:00,Calle 26,Av. Jiménez,20,Baja,Lluvioso
Martes,6:00,9:00,Héroes,Av. Jiménez,65,Alta,Lluvioso
Lunes,18:00,21:00,Portal Norte,Calle 26,38,Moderada,Soleado
Domingo,21:00,24:00,Portal Norte,Portal Sur,41,Moderada,Nublado
Miércoles,12:00,15:00,Portal Sur,Portal Norte,81,Alta,Nublado
Martes,12:00,15:00,Portal Norte,Héroes,15,Baja,Nublado
Jueves,18:00,21:00,Calle 26,Héroes,76,Alta,Soleado
Domingo,9:00,12:00,Portal Sur,Calle 26,8,Baja,Nublado
Sábado,21:00,24:00,Portal Sur,Calle 72,41,Moderada,Nublado
Miércoles,15:00,18:00,Portal Norte,Calle 72,13,Baja,Nublado
Jueves,12:00,15:00,Héroes,Calle 26,29,Baja,Soleado
Domingo,9:00,12:00,Calle 100,Av. Jiménez,35,Moderada,Soleado
Miércoles,9:00,12:00,Av. Jiménez,Calle 26,8,Baja,Soleado
Miércoles,6:00,9:00,Calle 26,Portal Sur,55,Moderada,Lluvioso
Miércoles,12:00,15:00,Calle 72,Calle 100,20,Baja,Nublado
Miércoles,21:00,24:00,Calle 26,Av. Jiménez,80,Alta,Nublado
Miércoles,12:00,15:00,Calle 26,Portal Norte,6,Baja,Lluvioso
Viernes,6:00,9:00,Héroes,Portal Norte,74,Alta,Lluvioso
Lunes,18:00,21:00,Calle 100,Héroes,13,Baja,Soleado
Martes,6:00,9:00,Av. Jiménez,Portal Norte,28,Baja,Soleado
Viernes,12:00,15:00,Calle 100,Portal Norte,51,Moderada,Lluvioso
Domingo,15:00,18:00,Calle 100,Calle 72,81,Alta,Nublado
Lunes,6:00,9:00,Calle 72,Calle 100,38,Moderada,Soleado
Martes,15:00,18:00,Calle 26,Héroes,13,Baja,Lluvioso
Jueves,21:00,24:00,Héroes,Calle 100,79,Alta,Soleado
Lunes,18:00,21:00,Av. Jiménez,Calle 100,72,Alta,Soleado
Domingo,12:00,15:00,Portal Norte,Calle 100,9,Baja,Lluvioso
Sábado,21:00,24:00,Calle 26,Portal Sur,80,Alta,Nublado
Viernes,15:00,18:00,Portal Norte,Portal Sur,19,Baja,Nublado
Sábado,15:00,18:00,Portal Norte,Portal Sur,12,Baja,Nublado
Domingo,9:00,12:00,Portal Sur,Portal Norte,81,Alta,Nublado
Viernes,15:00,18:00,Av. Jiménez,Portal Sur,64,Alta,Soleado
Sábado,12:00,15:00,Calle 26,Calle 72,56,Moderada,Lluvioso
Miércoles,9:00,12:00,Av. Jiménez,Portal Sur,80,Alta,Nublado
Martes,6:00,9:00,Av. Jiménez,Calle 26,31,Moderada,Soleado
Martes,12:00,15:00,Av. Jiménez,Héroes,18,Baja,Nublado
Miércoles,9:00,12:00,Portal Norte,Av. Jiménez,68,Alta,Soleado
Sábado,15:00,18:00,Av. Jiménez,Calle 100,79,Alta,Soleado
Sábado,9:00,12:00,Calle 26,Héroes,22,Moderada,Soleado
Miércoles,12:00,15:00,Calle 100,Héroes,60,Alta,Lluvioso
Lunes,9:00,12:00,Calle 26,Calle 100,41,Moderada,Nublado
Sábado,12:00,15:00,Calle 26,Portal Sur,40,Moderada,Nublado
Domingo,9:00,12:00,Av. Jiménez,Portal Sur,81,Alta,Nublado
Jueves,12:00,15:00,Portal Norte,Av. Jiménez,94,Alta,Lluvioso
Lunes,21:00,24:00,Av. Jiménez,Portal Norte,22,Baja,Soleado
Martes,9:00,12:00,Av. Jiménez,Calle 72,69,Alta,Soleado
Martes,15:00,18:00,Héroes,Calle 26,80,Alta,Nublado
Martes,9:00,12:00,Portal Sur,Calle 100,35,Moderada,Soleado
Sábado,6:00,9:00,Héroes,Av. Jiménez,19,Baja,Nublado
Domingo,9:00,12:00,Calle 100,Calle 26,99,Alta,Lluvioso
Viernes,18:00,21:00,Héroes,Portal Sur,81,Alta,Nublado
Miércoles,18:00,21:00,Calle 72,Calle 26,16,Baja,Lluvioso
Domingo,12:00,15:00,Héroes,Portal Sur,80,Alta,Nublado
Domingo,12:00,15:00,Av. Jiménez,Héroes,75,Alta,Lluvioso
Lunes,6:00,9:00,Héroes,Portal Norte,41,Moderada,Nublado
Miércoles,12:00,15:00,Portal Norte,Calle 26,40,Moderada,Nublado
Domingo,12:00,15:00,Calle 26,Calle 100,23,Moderada,Soleado
Sábado,6:00,9:00,Héroes,Portal Norte,86,Alta,Lluvioso
Viernes,18:00,21:00,Calle 26,Portal Norte,35,Moderada,Soleado
Viernes,15:00,18:00,Calle 26,Portal Norte,2,Baja,Soleado
Jueves,18:00,21:00,Av. Jiménez,Portal Norte,53,Moderada,Lluvioso
Sábado,15:00,18:00,Calle 72,Calle 100,15,Baja,Soleado
Martes,6:00,9:00,Portal Sur,Héroes,45,Moderada,Lluvioso
Martes,12:00,15:00,Portal Sur,Héroes,7,Baja,Nublado
Jueves,15:00,18:00,Calle 72,Av. Jiménez,80,Alta,Nublado
Viernes,6:00,9:00,Portal Norte,Calle 100,15,Baja,Nublado
Martes,9:00,12:00,Calle 26,Portal Norte,41,Moderada,Nublado
Lunes,9:00,12:00,Portal Sur,Calle 26,41,Moderada,Nublado
Martes,21:00,24:00,Portal Norte,Héroes,21,Moderada,Soleado
Jueves,12:00,15:00,Calle 100,Calle 72,40,Moderada,Nublado
Domingo,21:00,24:00,Portal Sur,Héroes,34,Moderada,Soleado
Lunes,9:00,12:00,Calle 72,Héroes,37,Moderada,Soleado
Jueves,18:00,21:00,Calle 72,Portal Norte,31,Moderada,Soleado
Sábado,12:00,15:00,Portal Sur,Portal Norte,9,Baja,Nublado
Martes,18:00,21:00,Av. Jiménez,Portal Sur,71,Alta,Lluvioso
Miércoles,21:00,24:00,Calle 26,Calle 72,7,Baja,Nublado
Sábado,18:00,21:00,Calle 72,Calle 26,4,Baja,Nublado
Sábado,12:00,15:00,Calle 26,Héroes,16,Baja,Lluvioso
Domingo,21:00,24:00,Calle 72,Portal Sur,41,Moderada,Nublado
Lunes,9:00,12:00,Calle 72,Av. Jiménez,81,Alta,Nublado
Miércoles,12:00,15:00,Héroes,Calle 26,13,Baja,Nublado
Viernes,12:00,15:00,Calle 26,Héroes,20,Baja,Lluvioso
Miércoles,12:00,15:00,Héroes,Calle 72,81,Alta,Nublado
Lunes,9:00,12:00,Portal Norte,Calle 72,40,Moderada,Nublado
Miércoles,21:00,24:00,Portal Norte,Calle 100,16,Baja,Nublado
Sábado,9:00,12:00,Calle 100,Calle 72,50,Moderada,Lluvioso
Martes,18:00,21:00,Calle 100,Calle 72,81,Alta,Nublado
Jueves,6:00,9:00,Calle 100,Av. Jiménez,7,Baja,Nublado
Martes,21:00,24:00,Av. Jiménez,Calle 26,37,Moderada,Soleado
Sábado,9:00,12:00,Héroes,Calle 100,73,Alta,Lluvioso
Miércoles,21:00,24:00,Av. Jiménez,Calle 72,19,Baja,Soleado
Domingo,6:00,9:00,Calle 100,Portal Sur,30,Moderada,Soleado
Martes,9:00,12:00,Calle 100,Calle 72,80,Alta,Nublado
Jueves,18:00,21:00,Av. Jiménez,Calle 100,33,Moderada,Soleado
Miércoles,12:00,15:00,Calle 100,Héroes,63,Alta,Lluvioso
Lunes,18:00,21:00,Calle 26,Calle 72,18,Baja,Lluvioso
Jueves,12:00,15:00,Héroes,Portal Norte,46,Moderada,Lluvioso
Miércoles,15:00,18:00,Av. Jiménez,Calle 100,32,Moderada,Soleado
Jueves,15:00,18:00,Av. Jiménez,Portal Sur,34,Baja,Soleado
Domingo,6:00,9:00,Av. Jiménez,Calle 100,8,Baja,Soleado
Sábado,21:00,24:00,Héroes,Calle 72,75,Alta,Soleado
Martes,6:00,9:00,Av. Jiménez,Héroes,76,Alta,Soleado
Viernes,21:00,24:00,Portal Sur,Av. Jiménez,41,Moderada,Nublado
Martes,18:00,21:00,Calle 100,Calle 26,11,Baja,Lluvioso
Martes,21:00,24:00,Héroes,Calle 72,21,Baja,Nublado
Lunes,6:00,9:00,Calle 26,Calle 100,81,Alta,Nublado
Martes,15:00,18:00,Calle 26,Calle 72,8,Baja,Lluvioso
Jueves,6:00,9:00,Av. Jiménez,Portal Sur,16,Baja,Nublado
Sábado,15:00,18:00,Portal Sur,Av. Jiménez,40,Moderada,Nublado
Viernes,15:00,18:00,Calle 100,Portal Sur,60,Moderada,Lluvioso
Domingo,18:00,21:00,Héroes,Portal Sur,53,Moderada,Lluvioso
Miércoles,12:00,15:00,Calle 72,Héroes,41,Moderada,Nublado
Jueves,6:00,9:00,Calle 100,Héroes,69,Alta,Soleado
Jueves,21:00,24:00,Héroes,Portal Sur,73,Alta,Soleado
Viernes,6:00,9:00,Calle 72,Héroes,86,Alta,Lluvioso
Viernes,12:00,15:00,Av. Jiménez,Calle 26,81,Alta,Nublado
Domingo,18:00,21:00,Portal Norte,Av. Jiménez,40,Moderada,Nublado
Martes,18:00,21:00,Portal Sur,Calle 26,80,Alta,Nublado
Miércoles,21:00,24:00,Calle 72,Portal Sur,59,Moderada,Lluvioso
Martes,6:00,9:00,Av. Jiménez,Calle 72,38,Moderada,Soleado
Miércoles,18:00,21:00,Calle 72,Portal Norte,38,Moderada,Soleado
Miércoles,12:00,15:00,Calle 72,Héroes,2,Baja,Nublado
Miércoles,21:00,24:00,Héroes,Portal Norte,51,Moderada,Lluvioso
Jueves,15:00,18:00,Héroes,Calle 26,8,Baja,Lluvioso
Sábado,6:00,9:00,Héroes,Calle 72,6,Baja,Soleado
Martes,12:00,15:00,Av. Jiménez,Calle 72,49,Moderada,Lluvioso
Martes,9:00,12:00,Calle 72,Portal Norte,60,Moderada,Lluvioso
Lunes,6:00,9:00,Av. Jiménez,Calle 26,5,Baja,Nublado
Domingo,12:00,15:00,Héroes,Calle 72,8,Baja,Nublado
Viernes,9:00,12:00,Portal Norte,Héroes,13,Baja,Soleado
Sábado,21:00,24:00,Calle 26,Calle 100,32,Moderada,Soleado
Sábado,15:00,18:00,Calle 72,Calle 26,55,Moderada,Lluvioso
Miércoles,6:00,9:00,Av. Jiménez,Portal Sur,39,Moderada,Soleado
Jueves,9:00,12:00,Calle 72,Av. Jiménez,40,Baja,Soleado
Domingo,15:00,18:00,Portal Norte,Av. Jiménez,81,Alta,Nublado
Lunes,12:00,15:00,Portal Norte,Calle 26,60,Moderada,Lluvioso
Martes,15:00,18:00,Calle 72,Av. Jiménez,21,Baja,Soleado
Lunes,12:00,15:00,Héroes,Calle 72,80,Alta,Nublado
Miércoles,6:00,9:00,Calle 26,Calle 100,40,Moderada,Nublado
Domingo,18:00,21:00,Calle 26,Calle 100,10,Baja,Soleado
Domingo,15:00,18:00,Av. Jiménez,Héroes,39,Moderada,Soleado
Miércoles,9:00,12:00,Calle 26,Héroes,32,Moderada,Soleado
Domingo,21:00,24:00,Calle 100,Calle 72,63,Alta,Soleado
Jueves,9:00,12:00,Calle 72,Calle 100,67,Alta,Soleado
Martes,9:00,12:00,Portal Sur,Portal Norte,64,Alta,Soleado
Viernes,9:00,12:00,Av. Jiménez,Calle 26,80,Alta,Nublado
Martes,12:00,15:00,Calle 100,Calle 72,55,Moderada,Lluvioso
Miércoles,6:00,9:00,Calle 72,Portal Sur,55,Moderada,Lluvioso
Sábado,6:00,9:00,Portal Norte,Calle 100,41,Moderada,Nublado
Sábado,12:00,15:00,Portal Norte,Calle 26,41,Moderada,Nublado
Martes,6:00,9:00,Calle 100,Calle 26,74,Alta,Soleado
Martes,15:00,18:00,Calle 100,Portal Norte,80,Alta,Nublado
Jueves,12:00,15:00,Av. Jiménez,Calle 26,13,Baja,Lluvioso
Domingo,15:00,18:00,Portal Norte,Calle 100,17,Baja,Nublado
Domingo,18:00,21:00,Calle 72,Av. Jiménez,40,Moderada,Nublado
Miércoles,9:00,12:00,Portal Norte,Calle 26,80,Alta,Lluvioso
Jueves,12:00,15:00,Portal Norte,Calle 26,36,Baja,Soleado
Domingo,15:00,18:00,Calle 72,Portal Sur,66,Alta,Soleado
Viernes,12:00,15:00,Calle 72,Calle 100,41,Moderada,Nublado
Lunes,12:00,15:00,Portal Norte,Héroes,41,Moderada,Nublado
Miércoles,21:00,24:00,Héroes,Portal Sur,69,Alta,Soleado
Domingo,9:00,12:00,Calle 100,Av. Jiménez,40,Moderada,Lluvioso
Sábado,9:00,12:00,Calle 72,Calle 26,75,Alta,Lluvioso
Viernes,6:00,9:00,Calle 26,Calle 72,80,Alta,Nublado
Sábado,21:00,24:00,Portal Norte,Av. Jiménez,66,Alta,Lluvioso
Jueves,18:00,21:00,Calle 100,Av. Jiménez,67,Alta,Soleado
Domingo,12:00,15:00,Calle 100,Portal Sur,81,Alta,Nublado
Sábado,12:00,15:00,Av. Jiménez,Héroes,17,Baja,Nublado
Lunes,6:00,9:00,Av. Jiménez,Calle 26,40,Moderada,Nublado
Jueves,9:00,12:00,Portal Norte,Portal Sur,40,Moderada,Nublado
Sábado,12:00,15:00,Av. Jiménez,Calle 100,81,Alta,Nublado
Jueves,18:00,21:00,Av. Jiménez,Calle 26,79,Alta,Lluvioso
Viernes,9:00,12:00,Calle 26,Héroes,81,Alta,Nublado
Sábado,6:00,9:00,Av. Jiménez,Calle 26,49,Moderada,Lluvioso
Domingo,21:00,24:00,Calle 26,Portal Norte,21,Moderada,Soleado
Sábado,6:00,9:00,Calle 100,Portal Norte,36,Moderada,Soleado
Viernes,9:00,12:00,Av. Jiménez,Héroes,16,Baja,Lluvioso
Martes,21:00,24:00,Portal Norte,Héroes,55,Moderada,Lluvioso
Domingo,12:00,15:00,Calle 26,Portal Norte,35,Moderada,Soleado
Lunes,18:00,21:00,Calle 26,Calle 100,64,Alta,Lluvioso
Jueves,12:00,15:00,Calle 26,Calle 100,74,Alta,Soleado
Viernes,21:00,24:00,Calle 72,Calle 100,63,Alta,Lluvioso
Martes,18:00,21:00,Héroes,Calle 72,59,Moderada,Lluvioso
Martes,21:00,24:00,Portal Norte,Calle 26,71,Alta,Lluvioso
Lunes,15:00,18:00,Portal Sur,Calle 100,79,Alta,Soleado
Jueves,6:00,9:00,Portal Norte,Calle 26,53,Moderada,Lluvioso
Viernes,18:00,21:00,Portal Norte,Calle 100,31,Baja,Soleado
Martes,9:00,12:00,Av. Jiménez,Calle 72,1,Baja,Lluvioso
Jueves,12:00,15:00,Héroes,Portal Sur,34,Moderada,Soleado
Viernes,15:00,18:00,Av. Jiménez,Portal Norte,80,Alta,Nublado
Sábado,6:00,9:00,Calle 72,Portal Sur,19,Baja,Nublado
Lunes,12:00,15:00,Calle 100,Av. Jiménez,15,Baja,Nublado
Viernes,15:00,18:00,Calle 100,Portal Norte,1,Baja,Nublado
Domingo,18:00,21:00,Calle 72,Héroes,40,Moderada,Nublado
Martes,9:00,12:00,Calle 100,Calle 26,87,Alta,Lluvioso
Sábado,18:00,21:00,Av. Jiménez,Calle 26,43,Moderada,Lluvioso
Viernes,18:00,21:00,Av. Jiménez,Portal Norte,32,Baja,Soleado
Miércoles,6:00,9:00,Héroes,Calle 72,12,Baja,Lluvioso
Lunes,9:00,12:00,Calle 100,Calle 72,67,Alta,Soleado
Miércoles,6:00,9:00,Portal Sur,Héroes,38,Baja,Soleado
Jueves,6:00,9:00,Portal Sur,Calle 100,40,Moderada,Nublado
Sábado,6:00,9:00,Av. Jiménez,Calle 72,74,Alta,Soleado
Viernes,15:00,18:00,Héroes,Calle 100,33,Moderada,Soleado
Domingo,18:00,21:00,Calle 100,Av. Jiménez,55,Moderada,Lluvioso
Sábado,9:00,12:00,Calle 72,Portal Norte,43,Moderada,Lluvioso
Jueves,18:00,21:00,Calle 26,Calle 100,6,Baja,Nublado
Viernes,9:00,12:00,Portal Sur,Av. Jiménez,40,Moderada,Nublado
Viernes,21:00,24:00,Calle 26,Av. Jiménez,20,Baja,Lluvioso
Sábado,21:00,24:00,Portal Sur,Av. Jiménez,81,Alta,Nublado
Martes,12:00,15:00,Portal Norte,Portal Sur,40,Moderada,Lluvioso
Sábado,9:00,12:00,Portal Sur,Portal Norte,80,Alta,Nublado
Martes,12:00,15:00,Av. Jiménez,Héroes,21,Baja,Soleado
Martes,9:00,12:00,Portal Sur,Calle 26,99,Alta,Lluvioso
Viernes,15:00,18:00,Portal Norte,Calle 100,4,Baja,Nublado
Lunes,18:00,21:00,Héroes,Av. Jiménez,73,Alta,Soleado
Viernes,9:00,12:00,Av. Jiménez,Portal Norte,3,Baja,Lluvioso
Lunes,6:00,9:00,Portal Norte,Calle 72,42,Moderada,Lluvioso
Martes,15:00,18:00,Calle 26,Portal Sur,3,Baja,Nublado
Domingo,6:00,9:00,Calle 26,Calle 72,41,Moderada,Nublado
Lunes,9:00,12:00,Portal Norte,Calle 100,34,Moderada,Soleado
Miércoles,15:00,18:00,Portal Sur,Portal Norte,10,Baja,Nublado
Viernes,15:00,18:00,Calle 100,Portal Norte,19,Baja,Lluvioso
Domingo,18:00,21:00,Av. Jiménez,Portal Norte,28,Baja,Soleado
Jueves,9:00,12:00,Calle 26,Héroes,61,Alta,Lluvioso
Jueves,15:00,18:00,Calle 72,Av. Jiménez,10,Baja,Lluvioso
Lunes,9:00,12:00,Portal Norte,Av. Jiménez,40,Moderada,Soleado
Lunes,6:00,9:00,Héroes,Portal Norte,33,Moderada,Soleado
Miércoles,6:00,9:00,Calle 26,Calle 72,40,Moderada,Nublado
Miércoles,6:00,9:00,Calle 72,Calle 100,69,Alta,Soleado
Viernes,12:00,15:00,Calle 100,Calle 72,80,Alta,Nublado
Jueves,9:00,12:00,Calle 26,Héroes,80,Alta,Nublado
Lunes,6:00,9:00,Portal Sur,Av. Jiménez,81,Alta,Nublado
Miércoles,15:00,18:00,Héroes,Calle 26,58,Moderada,Lluvioso
Martes,12:00,15:00,Portal Sur,Calle 26,66,Alta,Soleado
Sábado,6:00,9:00,Héroes,Av. Jiménez,74,Alta,Soleado
Miércoles,6:00,9:00,Portal Norte,Calle 72,10,Baja,Nublado
Jueves,15:00,18:00,Calle 72,Portal Norte,11,Baja,Lluvioso
Martes,9:00,12:00,Av. Jiménez,Calle 100,78,Alta,Lluvioso
Lunes,12:00,15:00,Av. Jiménez,Portal Norte,40,Moderada,Nublado
Domingo,15:00,18:00,Av. Jiménez,Calle 26,67,Alta,Soleado
