estacion,latitud,longitud,capacidad,tiempo_permanencia,hora_dia,clima,dia_semana,evento_especial,distancia_estaciones,hora_pico
Calle 100,4.685253,-74.05759,56,19.09,1,lluvioso,fin de semana,1,19.11,1
Calle 26,4.615955,-74.072385,89,20.37,12,lluvioso,laboral,0,4.17,0
Calle 26,4.615955,-74.072385,47,28.76,0,lluvioso,laboral,0,17.66,1
Avenida Chile,4.665855,-74.074947,67,15.37,19,soleado,laboral,1,18.13,0
Portal El Dorado,4.681081,-74.121352,57,18.15,4,nublado,fin de semana,0,4.05,0
Gobernacion,4.642477,-74.096455,88,6.79,10,lluvioso,laboral,1,6.42,1
Gobernacion,4.642477,-74.096455,92,13.15,20,lluvioso,laboral,1,14.58,0
Portal Sur,4.596921,-74.169589,62,29.37,2,nublado,fin de semana,1,6.22,0
Gobernacion,4.642477,-74.096455,29,26.39,1,nublado,laboral,1,10.69,0
Gobernacion,4.642477,-74.096455,29,8.99,19,nublado,fin de semana,1,10.29,1
Portal Sur,4.596921,-74.169589,44,24.58,6,nublado,fin de semana,1,6.61,0
Portal El Dorado,4.681081,-74.121352,19,20.01,2,soleado,fin de semana,1,6.09,1
Portal Sur,4.596921,-74.169589,78,29.0,13,lluvioso,laboral,1,4.04,1
Portal Sur,4.596921,-74.169589,73,22.54,11,lluvioso,fin de semana,1,15.52,0
Portal Del Norte,4.754521,-74.046076,73,15.03,8,nublado,fin de semana,1,15.57,0
Portal Del Norte,4.754521,-74.046076,72,23.76,10,soleado,laboral,0,9.26,1
Calle 26,4.615955,-74.072385,72,20.12,17,lluvioso,laboral,0,8.98,0
Portal Del Norte,4.754521,-74.046076,12,17.62,23,soleado,laboral,1,12.96,0
Portal Del Norte,4.754521,-74.046076,77,20.92,2,lluvioso,fin de semana,0,8.22,0
Portal El Dorado,4.681081,-74.121352,36,7.39,15,nublado,laboral,1,16.31,1
Portal Del Norte,4.754521,-74.046076,79,7.14,23,soleado,laboral,1,6.22,0
Avenida Chile,4.665855,-74.074947,53,25.82,4,lluvioso,laboral,1,16.65,1
Gobernacion,4.642477,-74.096455,94,23.31,3,soleado,laboral,1,13.76,1
Portal Sur,4.596921,-74.169589,98,12.46,8,soleado,laboral,1,6.61,1
Avenida Chile,4.665855,-74.074947,22,8.23,5,lluvioso,fin de semana,1,16.62,0
Avenida Chile,4.665855,-74.074947,10,21.39,11,lluvioso,fin de semana,1,2.1,0
Gobernacion,4.642477,-74.096455,24,15.78,4,nublado,fin de semana,1,19.75,1
Avenida Chile,4.665855,-74.074947,30,21.14,17,lluvioso,laboral,1,5.92,1
Portal El Dorado,4.681081,-74.121352,43,11.86,23,soleado,fin de semana,1,4.81,0
Avenida Chile,4.665855,-74.074947,11,27.49,17,soleado,laboral,1,7.14,1
Portal El Dorado,4.681081,-74.121352,71,27.36,5,lluvioso,laboral,0,12.03,1
Calle 26,4.615955,-74.072385,26,16.52,0,soleado,fin de semana,0,10.03,1
Calle 26,4.615955,-74.072385,40,26.07,2,nublado,laboral,0,19.47,0
Calle 26,4.615955,-74.072385,39,23.48,0,lluvioso,laboral,0,8.06,1
Calle 26,4.615955,-74.072385,47,20.49,8,lluvioso,fin de semana,1,17.04,0
Portal El Dorado,4.681081,-74.121352,19,26.15,13,soleado,laboral,1,10.16,0
Gobernacion,4.642477,-74.096455,48,11.93,22,soleado,fin de semana,1,12.82,0
Portal Sur,4.596921,-74.169589,73,6.58,13,nublado,laboral,1,18.98,1
Calle 26,4.615955,-74.072385,28,14.57,10,lluvioso,fin de semana,1,10.63,1
Portal Del Norte,4.754521,-74.046076,42,25.18,3,lluvioso,fin de semana,0,14.63,1
Portal Sur,4.596921,-74.169589,88,12.73,3,soleado,laboral,1,16.83,1
Portal Del Norte,4.754521,-74.046076,86,25.37,14,soleado,fin de semana,0,5.93,1
Calle 26,4.615955,-74.072385,85,17.32,3,nublado,laboral,1,1.7,1
Gobernacion,4.642477,-74.096455,100,23.45,19,lluvioso,laboral,0,17.05,1
Portal Sur,4.596921,-74.169589,51,19.37,5,soleado,laboral,0,12.86,0
Calle 100,4.685253,-74.05759,23,26.6,2,nublado,fin de semana,1,8.13,0
Portal El Dorado,4.681081,-74.121352,26,26.94,16,nublado,fin de semana,1,18.67,0
Calle 26,4.615955,-74.072385,39,7.8,8,lluvioso,laboral,0,15.87,1
Portal Sur,4.596921,-74.169589,15,13.51,8,soleado,laboral,1,8.82,1
Gobernacion,4.642477,-74.096455,40,17.64,2,lluvioso,fin de semana,1,14.39,0
Calle 100,4.685253,-74.05759,82,29.54,9,soleado,fin de semana,1,17.7,1
Calle 100,4.685253,-74.05759,93,28.83,10,lluvioso,fin de semana,0,5.4,1
Avenida Chile,4.665855,-74.074947,99,7.32,12,nublado,fin de semana,0,19.28,1
Portal El Dorado,4.681081,-74.121352,76,11.07,1,lluvioso,laboral,1,6.55,1
Calle 26,4.615955,-74.072385,66,27.07,14,soleado,fin de semana,1,2.67,1
Portal Del Norte,4.754521,-74.046076,80,25.2,12,nublado,fin de semana,1,9.95,1
Calle 26,4.615955,-74.072385,71,28.44,17,soleado,laboral,1,6.32,0
Calle 26,4.615955,-74.072385,66,27.7,10,soleado,laboral,1,4.17,1
Portal El Dorado,4.681081,-74.121352,24,17.26,3,nublado,laboral,0,0.7,1
Calle 100,4.685253,-74.05759,86,16.32,6,nublado,laboral,0,4.97,0
Portal Del Norte,4.754521,-74.046076,87,28.4,8,lluvioso,fin de semana,0,3.24,1
Avenida Chile,4.665855,-74.074947,91,25.47,13,soleado,laboral,1,7.8,1
Portal Del Norte,4.754521,-74.046076,15,26.85,5,lluvioso,laboral,1,4.25,1
Calle 100,4.685253,-74.05759,49,14.49,4,soleado,fin de semana,1,11.39,1
Portal El Dorado,4.681081,-74.121352,31,5.37,22,soleado,laboral,0,1.12,0
Gobernacion,4.642477,-74.096455,87,16.31,23,nublado,fin de semana,0,15.43,0
Portal Del Norte,4.754521,-74.046076,87,21.19,11,lluvioso,laboral,0,8.27,0
Gobernacion,4.642477,-74.096455,60,18.92,15,nublado,laboral,0,6.34,0
Portal Sur,4.596921,-74.169589,79,19.85,4,soleado,laboral,0,6.01,1
Calle 100,4.685253,-74.05759,81,22.59,6,lluvioso,fin de semana,0,10.1,0
Portal El Dorado,4.681081,-74.121352,15,29.96,1,lluvioso,fin de semana,0,18.98,0
Gobernacion,4.642477,-74.096455,79,23.0,22,lluvioso,laboral,1,16.44,0
Gobernacion,4.642477,-74.096455,77,11.82,2,soleado,laboral,0,4.78,0
Portal Sur,4.596921,-74.169589,10,15.57,13,nublado,fin de semana,1,19.59,0
Calle 100,4.685253,-74.05759,11,14.31,7,nublado,fin de semana,0,0.78,0
Calle 26,4.615955,-74.072385,62,24.63,11,soleado,fin de semana,0,8.89,0
Portal El Dorado,4.681081,-74.121352,42,18.09,3,nublado,laboral,1,9.89,1
Gobernacion,4.642477,-74.096455,50,26.14,9,nublado,fin de semana,0,4.41,1
Portal Del Norte,4.754521,-74.046076,94,11.28,5,lluvioso,laboral,0,19.25,1
Calle 100,4.685253,-74.05759,29,14.91,8,soleado,laboral,0,11.77,0
Calle 100,4.685253,-74.05759,19,16.08,18,nublado,fin de semana,1,13.78,1
Avenida Chile,4.665855,-74.074947,63,6.79,3,lluvioso,laboral,0,16.98,1
Portal El Dorado,4.681081,-74.121352,38,18.72,0,soleado,laboral,0,18.81,0
Gobernacion,4.642477,-74.096455,63,27.29,4,nublado,fin de semana,1,19.24,0
Portal El Dorado,4.681081,-74.121352,20,26.76,20,nublado,laboral,0,17.98,0
Gobernacion,4.642477,-74.096455,47,25.64,8,lluvioso,laboral,1,12.96,0
Portal Del Norte,4.754521,-74.046076,62,22.74,23,soleado,fin de semana,1,16.28,1
Avenida Chile,4.665855,-74.074947,70,20.68,15,soleado,fin de semana,0,6.2,0
Gobernacion,4.642477,-74.096455,38,26.93,14,lluvioso,fin de semana,1,2.68,0
Portal Sur,4.596921,-74.169589,14,19.77,21,soleado,fin de semana,1,9.54,1
Calle 26,4.615955,-74.072385,37,25.28,7,soleado,fin de semana,0,10.63,0
Portal Sur,4.596921,-74.169589,95,13.57,11,lluvioso,fin de semana,1,9.64,1
Portal Del Norte,4.754521,-74.046076,14,20.0,16,nublado,fin de semana,0,5.39,1
Calle 100,4.685253,-74.05759,12,8.01,6,soleado,fin de semana,0,17.26,0
Gobernacion,4.642477,-74.096455,67,20.97,9,nublado,laboral,1,9.41,0
Gobernacion,4.642477,-74.096455,99,14.97,17,soleado,laboral,1,17.45,1
Portal Sur,4.596921,-74.169589,65,25.69,12,lluvioso,laboral,1,17.68,1
Gobernacion,4.642477,-74.096455,32,16.87,7,nublado,fin de semana,1,17.04,1
Avenida Chile,4.665855,-74.074947,29,10.79,7,lluvioso,laboral,0,7.25,0
Calle 100,4.685253,-74.05759,18,13.52,13,soleado,fin de semana,0,6.07,0
Calle 100,4.685253,-74.05759,57,10.37,12,nublado,fin de semana,1,4.62,1
Portal Del Norte,4.754521,-74.046076,12,27.6,4,lluvioso,fin de semana,1,9.84,1
Portal Del Norte,4.754521,-74.046076,10,11.8,3,lluvioso,laboral,0,4.93,0
Gobernacion,4.642477,-74.096455,54,24.75,1,nublado,fin de semana,0,11.56,0
Portal Del Norte,4.754521,-74.046076,28,12.79,18,nublado,laboral,0,14.96,0
Portal Sur,4.596921,-74.169589,67,17.34,13,nublado,laboral,0,3.39,0
Avenida Chile,4.665855,-74.074947,65,27.49,0,soleado,laboral,1,16.78,1
Portal El Dorado,4.681081,-74.121352,29,15.9,19,soleado,laboral,0,16.46,0
Portal Sur,4.596921,-74.169589,90,13.45,6,soleado,fin de semana,0,17.1,0
Gobernacion,4.642477,-74.096455,36,25.91,8,nublado,laboral,0,1.91,1
Portal Sur,4.596921,-74.169589,52,14.72,22,lluvioso,laboral,0,14.53,0
Avenida Chile,4.665855,-74.074947,71,14.88,16,nublado,fin de semana,0,6.09,0
Avenida Chile,4.665855,-74.074947,61,13.94,7,nublado,laboral,1,9.89,0
Calle 26,4.615955,-74.072385,16,11.18,6,nublado,laboral,1,8.8,1
Calle 100,4.685253,-74.05759,15,19.55,8,soleado,laboral,1,6.67,1
Portal Del Norte,4.754521,-74.046076,12,28.25,20,lluvioso,fin de semana,0,3.23,0
Portal El Dorado,4.681081,-74.121352,45,14.05,23,lluvioso,fin de semana,0,15.04,0
Avenida Chile,4.665855,-74.074947,48,18.94,14,lluvioso,fin de semana,0,8.05,1
Calle 100,4.685253,-74.05759,71,9.73,8,soleado,fin de semana,1,3.75,1
Portal Sur,4.596921,-74.169589,26,5.26,5,lluvioso,fin de semana,1,1.3,1
Portal El Dorado,4.681081,-74.121352,60,6.11,14,soleado,fin de semana,0,18.82,0
Portal El Dorado,4.681081,-74.121352,31,19.8,7,nublado,laboral,0,11.11,1
Gobernacion,4.642477,-74.096455,55,6.29,6,lluvioso,fin de semana,1,15.14,1
Avenida Chile,4.665855,-74.074947,54,16.36,11,lluvioso,laboral,0,8.32,1
Portal Sur,4.596921,-74.169589,64,14.76,3,lluvioso,fin de semana,1,15.04,0
Calle 100,4.685253,-74.05759,100,19.92,7,nublado,laboral,1,1.59,1
Portal Del Norte,4.754521,-74.046076,78,5.23,11,lluvioso,fin de semana,0,17.41,0
Portal Del Norte,4.754521,-74.046076,37,16.69,11,soleado,fin de semana,0,11.77,1
Calle 100,4.685253,-74.05759,70,8.68,19,soleado,fin de semana,1,5.36,0
Calle 26,4.615955,-74.072385,85,16.82,8,lluvioso,fin de semana,1,15.99,0
Portal Del Norte,4.754521,-74.046076,65,14.4,20,nublado,laboral,0,8.33,1
Avenida Chile,4.665855,-74.074947,44,25.79,11,lluvioso,laboral,1,8.22,1
Avenida Chile,4.665855,-74.074947,16,28.31,0,soleado,fin de semana,1,10.16,0
Portal Sur,4.596921,-74.169589,15,15.2,15,nublado,fin de semana,0,17.64,1
Portal Sur,4.596921,-74.169589,12,21.02,6,nublado,fin de semana,1,14.51,1
Portal Del Norte,4.754521,-74.046076,94,15.6,6,lluvioso,laboral,0,18.41,0
Calle 100,4.685253,-74.05759,39,7.96,19,soleado,laboral,1,19.43,0
Gobernacion,4.642477,-74.096455,62,17.79,4,soleado,laboral,0,4.1,1
Portal El Dorado,4.681081,-74.121352,36,11.41,17,lluvioso,laboral,0,13.06,0
Gobernacion,4.642477,-74.096455,97,18.08,5,soleado,laboral,1,17.1,0
Gobernacion,4.642477,-74.096455,30,22.06,7,soleado,fin de semana,1,6.25,0
Portal Sur,4.596921,-74.169589,68,29.26,12,lluvioso,laboral,0,10.77,1
Portal Sur,4.596921,-74.169589,51,10.13,21,soleado,laboral,0,6.22,1
Calle 100,4.685253,-74.05759,96,20.6,0,nublado,fin de semana,1,14.86,1
Calle 100,4.685253,-74.05759,17,5.01,15,soleado,laboral,0,7.25,0
Avenida Chile,4.665855,-74.074947,81,27.24,13,nublado,laboral,1,16.87,1
Portal Del Norte,4.754521,-74.046076,88,26.58,3,lluvioso,laboral,0,14.67,1
Portal Sur,4.596921,-74.169589,48,12.32,7,nublado,fin de semana,1,12.54,1
Portal Del Norte,4.754521,-74.046076,76,17.39,0,soleado,laboral,1,17.71,0
Gobernacion,4.642477,-74.096455,52,10.4,16,lluvioso,fin de semana,1,16.98,1
Portal Sur,4.596921,-74.169589,39,5.47,1,nublado,laboral,1,12.47,1
Portal El Dorado,4.681081,-74.121352,33,22.89,13,lluvioso,fin de semana,1,0.91,1
Portal El Dorado,4.681081,-74.121352,85,25.95,1,soleado,fin de semana,0,10.63,0
Calle 26,4.615955,-74.072385,28,21.19,19,lluvioso,laboral,1,9.44,0
Gobernacion,4.642477,-74.096455,21,24.65,1,soleado,fin de semana,1,9.66,1
Portal Sur,4.596921,-74.169589,30,27.93,14,nublado,laboral,1,17.43,0
Calle 100,4.685253,-74.05759,31,13.82,10,nublado,fin de semana,0,6.34,0
Portal Sur,4.596921,-74.169589,15,28.28,11,lluvioso,laboral,1,5.78,0
Calle 26,4.615955,-74.072385,26,21.15,20,lluvioso,fin de semana,0,3.39,1
Portal Del Norte,4.754521,-74.046076,95,10.76,3,nublado,fin de semana,0,13.91,1
Portal Sur,4.596921,-74.169589,97,14.75,22,soleado,fin de semana,0,9.44,1
Gobernacion,4.642477,-74.096455,58,18.34,13,nublado,laboral,1,14.86,0
Portal El Dorado,4.681081,-74.121352,75,22.88,12,nublado,laboral,0,2.58,1
Portal Del Norte,4.754521,-74.046076,54,22.06,3,lluvioso,laboral,0,10.87,1
Portal Sur,4.596921,-74.169589,92,26.2,11,soleado,laboral,0,12.77,0
Portal El Dorado,4.681081,-74.121352,24,9.7,19,lluvioso,fin de semana,0,14.61,1
Gobernacion,4.642477,-74.096455,53,22.58,15,soleado,laboral,1,7.62,0
Portal El Dorado,4.681081,-74.121352,73,19.78,0,soleado,fin de semana,0,11.56,1
Calle 26,4.615955,-74.072385,96,7.53,15,soleado,laboral,0,11.55,0
Avenida Chile,4.665855,-74.074947,93,22.83,14,nublado,fin de semana,1,4.41,1
Calle 100,4.685253,-74.05759,76,25.85,12,nublado,fin de semana,0,4.92,0
Portal El Dorado,4.681081,-74.121352,74,21.82,17,lluvioso,laboral,1,16.46,0
Avenida Chile,4.665855,-74.074947,15,7.62,0,lluvioso,laboral,0,14.04,0
Portal El Dorado,4.681081,-74.121352,40,15.18,5,lluvioso,laboral,1,13.92,0
Gobernacion,4.642477,-74.096455,45,16.26,13,lluvioso,fin de semana,0,15.75,0
Calle 100,4.685253,-74.05759,13,14.57,23,lluvioso,fin de semana,1,17.87,1
Calle 26,4.615955,-74.072385,49,12.98,10,lluvioso,laboral,0,9.59,0
Avenida Chile,4.665855,-74.074947,74,25.17,9,soleado,fin de semana,1,2.32,0
Avenida Chile,4.665855,-74.074947,80,25.97,6,soleado,fin de semana,0,1.72,0
Calle 100,4.685253,-74.05759,95,18.95,18,soleado,laboral,1,17.28,1
Portal Del Norte,4.754521,-74.046076,71,29.1,19,nublado,fin de semana,1,16.65,0
Portal Del Norte,4.754521,-74.046076,79,15.74,13,soleado,fin de semana,0,19.64,0
Gobernacion,4.642477,-74.096455,74,6.06,20,soleado,fin de semana,1,18.14,0
Calle 26,4.615955,-74.072385,95,20.13,18,lluvioso,laboral,1,11.69,1
Portal El Dorado,4.681081,-74.121352,77,15.15,19,soleado,laboral,0,1.2,0
Calle 26,4.615955,-74.072385,15,5.45,10,soleado,fin de semana,0,18.81,1
Gobernacion,4.642477,-74.096455,57,12.27,19,lluvioso,fin de semana,0,5.74,1
Portal El Dorado,4.681081,-74.121352,15,28.44,6,lluvioso,laboral,0,1.26,0
Avenida Chile,4.665855,-74.074947,77,6.23,15,nublado,laboral,0,18.68,1
Portal Sur,4.596921,-74.169589,31,5.42,16,nublado,laboral,0,9.41,0
Calle 100,4.685253,-74.05759,95,26.81,21,soleado,fin de semana,0,15.77,1
Calle 26,4.615955,-74.072385,100,8.11,14,lluvioso,laboral,1,11.07,1
Avenida Chile,4.665855,-74.074947,42,19.39,20,soleado,laboral,0,16.98,1
Portal Del Norte,4.754521,-74.046076,32,7.94,3,lluvioso,fin de semana,0,11.74,0
Portal El Dorado,4.681081,-74.121352,82,23.6,6,nublado,fin de semana,1,17.37,1
Gobernacion,4.642477,-74.096455,53,27.55,16,soleado,laboral,0,9.0,0
Avenida Chile,4.665855,-74.074947,19,9.98,11,nublado,laboral,1,3.77,0
Calle 100,4.685253,-74.05759,27,6.05,6,nublado,laboral,0,14.8,1
Portal Sur,4.596921,-74.169589,81,10.12,2,nublado,fin de semana,1,13.2,1
Calle 26,4.615955,-74.072385,51,27.42,18,nublado,laboral,0,13.85,1
Portal Del Norte,4.754521,-74.046076,32,7.27,1,nublado,laboral,1,14.05,0
Portal Del Norte,4.754521,-74.046076,57,27.51,21,soleado,fin de semana,1,3.75,0
Gobernacion,4.642477,-74.096455,97,8.95,15,nublado,laboral,0,13.37,0
Gobernacion,4.642477,-74.096455,57,26.79,16,lluvioso,laboral,1,13.3,1
Avenida Chile,4.665855,-74.074947,69,29.95,1,lluvioso,laboral,1,7.52,1
Avenida Chile,4.665855,-74.074947,95,18.57,16,soleado,fin de semana,0,12.48,1
Calle 26,4.615955,-74.072385,24,21.23,9,nublado,laboral,0,12.31,0
Portal El Dorado,4.681081,-74.121352,26,28.47,21,nublado,laboral,0,5.03,0
Portal El Dorado,4.681081,-74.121352,88,11.19,14,nublado,fin de semana,1,7.96,1
Calle 100,4.685253,-74.05759,17,13.28,22,nublado,fin de semana,0,14.33,1
Portal Del Norte,4.754521,-74.046076,88,14.74,8,nublado,laboral,1,1.11,1
Avenida Chile,4.665855,-74.074947,62,21.11,18,nublado,fin de semana,0,16.98,1
Calle 26,4.615955,-74.072385,15,8.91,23,soleado,laboral,0,17.43,1
Portal Sur,4.596921,-74.169589,13,10.05,23,lluvioso,fin de semana,1,8.09,0
Gobernacion,4.642477,-74.096455,94,16.86,18,lluvioso,laboral,1,3.18,0
Portal Del Norte,4.754521,-74.046076,62,17.25,0,soleado,fin de semana,1,3.23,1
Portal Del Norte,4.754521,-74.046076,65,11.76,21,soleado,laboral,1,4.48,0
Portal Sur,4.596921,-74.169589,45,22.06,23,soleado,laboral,0,17.44,0
Avenida Chile,4.665855,-74.074947,20,12.04,5,lluvioso,fin de semana,1,8.96,0
Gobernacion,4.642477,-74.096455,18,20.36,21,soleado,fin de semana,1,8.06,1
Calle 26,4.615955,-74.072385,76,21.06,9,lluvioso,fin de semana,0,4.92,0
Portal Sur,4.596921,-74.169589,61,25.26,6,nublado,fin de semana,1,6.34,1
Calle 26,4.615955,-74.072385,37,15.76,13,lluvioso,laboral,0,8.76,1
Portal Del Norte,4.754521,-74.046076,94,24.31,22,lluvioso,laboral,1,5.06,0
Portal El Dorado,4.681081,-74.121352,85,28.03,10,nublado,laboral,1,11.33,1
Calle 26,4.615955,-74.072385,19,12.42,2,soleado,fin de semana,0,0.91,0
Portal Del Norte,4.754521,-74.046076,37,6.93,18,nublado,laboral,0,17.99,1
Portal El Dorado,4.681081,-74.121352,51,23.43,15,soleado,laboral,1,13.67,1
Calle 26,4.615955,-74.072385,91,14.68,9,nublado,fin de semana,1,10.87,0
Avenida Chile,4.665855,-74.074947,22,22.31,23,soleado,fin de semana,0,14.46,0
Portal El Dorado,4.681081,-74.121352,92,28.47,3,lluvioso,laboral,1,2.49,1
Portal Sur,4.596921,-74.169589,70,20.71,21,lluvioso,laboral,1,10.1,1
Avenida Chile,4.665855,-74.074947,97,6.88,4,nublado,laboral,0,5.31,0
Portal Sur,4.596921,-74.169589,64,15.58,3,soleado,fin de semana,1,4.93,1
Gobernacion,4.642477,-74.096455,29,9.93,3,soleado,fin de semana,0,17.46,0
Portal Del Norte,4.754521,-74.046076,67,23.18,23,soleado,laboral,1,4.48,1
Portal Sur,4.596921,-74.169589,36,27.21,11,lluvioso,laboral,0,1.78,1
Portal El Dorado,4.681081,-74.121352,80,19.06,10,lluvioso,laboral,0,0.73,1
Portal Del Norte,4.754521,-74.046076,59,14.64,21,lluvioso,fin de semana,1,6.77,0
Gobernacion,4.642477,-74.096455,71,19.65,19,soleado,fin de semana,1,13.78,0
Calle 100,4.685253,-74.05759,12,8.61,18,nublado,laboral,1,16.78,1
Portal Del Norte,4.754521,-74.046076,57,9.1,20,nublado,fin de semana,0,10.13,1
Avenida Chile,4.665855,-74.074947,67,29.19,12,nublado,fin de semana,1,19.03,1
Calle 26,4.615955,-74.072385,78,22.87,18,nublado,laboral,1,6.5,1
Gobernacion,4.642477,-74.096455,16,5.94,20,lluvioso,laboral,0,1.49,0
Calle 26,4.615955,-74.072385,77,14.94,2,lluvioso,fin de semana,1,16.28,0
Calle 100,4.685253,-74.05759,94,28.05,15,lluvioso,laboral,1,1.59,0
Avenida Chile,4.665855,-74.074947,90,14.97,12,soleado,laboral,0,17.17,1
Gobernacion,4.642477,-74.096455,27,20.79,1,soleado,laboral,1,9.49,0
Calle 26,4.615955,-74.072385,61,29.72,2,lluvioso,fin de semana,0,10.45,1
Avenida Chile,4.665855,-74.074947,38,6.8,10,soleado,fin de semana,0,11.59,1
Avenida Chile,4.665855,-74.074947,38,19.54,21,lluvioso,laboral,0,13.96,0
Gobernacion,4.642477,-74.096455,99,18.82,23,soleado,fin de semana,0,0.73,0
Portal El Dorado,4.681081,-74.121352,89,11.77,1,lluvioso,fin de semana,1,4.1,0
Portal El Dorado,4.681081,-74.121352,23,22.1,0,nublado,laboral,0,3.9,0
Portal Del Norte,4.754521,-74.046076,54,9.2,23,nublado,fin de semana,1,3.43,0
Calle 100,4.685253,-74.05759,42,11.1,16,soleado,laboral,1,7.71,1
Portal Del Norte,4.754521,-74.046076,35,12.87,17,nublado,laboral,1,17.77,1
Calle 100,4.685253,-74.05759,87,22.52,11,nublado,fin de semana,1,3.27,0
Gobernacion,4.642477,-74.096455,10,11.56,3,soleado,fin de semana,1,3.9,1
Calle 26,4.615955,-74.072385,96,6.5,20,soleado,laboral,1,6.78,1
Gobernacion,4.642477,-74.096455,80,27.68,16,soleado,fin de semana,1,16.52,0
Calle 100,4.685253,-74.05759,29,25.11,12,nublado,laboral,0,0.6,0
Gobernacion,4.642477,-74.096455,23,15.34,10,nublado,laboral,1,6.13,1
Gobernacion,4.642477,-74.096455,65,17.27,4,nublado,fin de semana,0,9.09,0
Gobernacion,4.642477,-74.096455,40,8.59,1,soleado,fin de semana,1,7.94,0
Portal Sur,4.596921,-74.169589,27,24.48,10,lluvioso,fin de semana,1,12.48,0
Portal Del Norte,4.754521,-74.046076,70,16.78,3,soleado,fin de semana,0,3.03,0
Portal Del Norte,4.754521,-74.046076,76,21.35,9,lluvioso,fin de semana,1,15.62,1
Portal El Dorado,4.681081,-74.121352,37,23.74,20,lluvioso,fin de semana,1,17.26,1
Portal Sur,4.596921,-74.169589,77,7.64,0,nublado,laboral,0,9.59,0
Calle 26,4.615955,-74.072385,19,22.17,14,nublado,fin de semana,0,10.59,0
Gobernacion,4.642477,-74.096455,28,19.79,11,nublado,fin de semana,0,12.4,1
Portal El Dorado,4.681081,-74.121352,52,7.08,17,lluvioso,fin de semana,1,4.87,1
Portal Sur,4.596921,-74.169589,14,9.45,0,nublado,laboral,0,17.66,0
Calle 26,4.615955,-74.072385,75,24.79,5,lluvioso,fin de semana,1,1.62,0
Avenida Chile,4.665855,-74.074947,71,14.11,7,lluvioso,laboral,1,9.6,0
Portal Del Norte,4.754521,-74.046076,54,7.62,15,lluvioso,laboral,1,16.83,1
Portal Del Norte,4.754521,-74.046076,36,13.36,23,lluvioso,fin de semana,0,14.63,0
Portal Sur,4.596921,-74.169589,84,11.11,11,lluvioso,fin de semana,0,5.96,1
Portal Sur,4.596921,-74.169589,67,10.1,0,nublado,laboral,0,17.55,1
Calle 100,4.685253,-74.05759,32,25.19,21,lluvioso,laboral,0,18.18,0
Portal Sur,4.596921,-74.169589,83,5.35,20,soleado,laboral,1,4.93,1
Calle 100,4.685253,-74.05759,71,16.4,13,lluvioso,laboral,1,6.09,1
Gobernacion,4.642477,-74.096455,32,15.11,23,soleado,laboral,0,14.08,0
Portal Sur,4.596921,-74.169589,98,6.65,2,nublado,laboral,1,10.74,1
Avenida Chile,4.665855,-74.074947,27,17.38,11,soleado,fin de semana,0,4.1,1
Portal El Dorado,4.681081,-74.121352,85,11.23,6,soleado,fin de semana,0,17.35,0
Portal El Dorado,4.681081,-74.121352,72,10.01,14,nublado,fin de semana,1,13.67,0
Avenida Chile,4.665855,-74.074947,77,15.06,5,nublado,laboral,1,18.98,0
Portal Sur,4.596921,-74.169589,75,15.89,1,nublado,laboral,0,13.47,1
Gobernacion,4.642477,-74.096455,97,24.99,1,lluvioso,laboral,1,5.51,1
Portal Sur,4.596921,-74.169589,63,11.77,10,soleado,fin de semana,0,4.33,1
Avenida Chile,4.665855,-74.074947,95,6.29,1,nublado,laboral,0,8.94,0
Calle 100,4.685253,-74.05759,41,12.7,23,soleado,fin de semana,0,10.96,0
Portal Sur,4.596921,-74.169589,44,18.39,18,nublado,laboral,0,9.47,1
Portal Sur,4.596921,-74.169589,58,18.23,1,soleado,laboral,0,4.97,1
Avenida Chile,4.665855,-74.074947,55,8.47,13,soleado,laboral,0,5.05,1
Portal Del Norte,4.754521,-74.046076,49,21.31,14,nublado,fin de semana,1,12.16,1
Calle 100,4.685253,-74.05759,34,17.84,15,lluvioso,fin de semana,1,15.56,0
Calle 100,4.685253,-74.05759,96,28.76,20,nublado,fin de semana,1,19.8,1
Portal El Dorado,4.681081,-74.121352,61,15.36,9,soleado,fin de semana,1,18.41,0
Calle 26,4.615955,-74.072385,98,18.27,21,lluvioso,fin de semana,1,1.13,1
Portal Del Norte,4.754521,-74.046076,79,23.12,10,lluvioso,laboral,1,11.86,1
Portal Del Norte,4.754521,-74.046076,32,25.48,11,lluvioso,laboral,1,18.78,1
Portal El Dorado,4.681081,-74.121352,57,13.91,6,nublado,laboral,0,13.2,1
Portal El Dorado,4.681081,-74.121352,18,25.57,8,lluvioso,laboral,1,0.76,0
Portal Sur,4.596921,-74.169589,85,23.37,23,lluvioso,laboral,0,11.33,1
Avenida Chile,4.665855,-74.074947,89,5.33,21,soleado,laboral,1,11.69,1
Portal Del Norte,4.754521,-74.046076,36,25.91,8,soleado,laboral,0,19.57,1
Portal Sur,4.596921,-74.169589,31,15.18,6,lluvioso,fin de semana,1,6.41,1
Calle 100,4.685253,-74.05759,81,25.22,9,lluvioso,fin de semana,1,8.0,0
Calle 26,4.615955,-74.072385,49,27.63,16,soleado,fin de semana,1,11.77,0
Portal El Dorado,4.681081,-74.121352,78,8.89,19,nublado,laboral,0,16.46,0
Portal Del Norte,4.754521,-74.046076,31,7.29,14,nublado,fin de semana,1,1.26,1
